time,open,high,low,close,Volume,Volume MA
1690790400,382.86,383.01,382.86,383.01,894,NaN
1690790460,382.99,382.99,382.98,382.98,530,NaN
1690790520,383.04,383.05,382.93,382.93,1630,NaN
1690790580,383.02,383.02,383.02,383.02,100,NaN
1690790640,383.03,383.03,383.01,383.03,1971,NaN
1690790700,383.14,383.14,383.14,383.14,100,NaN
1690790760,383.2,383.22,383.19,383.22,300,NaN
1690790820,383.3,383.32,383.22,383.22,2000,NaN
1690790880,383.28,383.31,383.27,383.29,3086,NaN
1690790940,383.29,383.3,383.28,383.3,1900,NaN
1690791060,383.18,383.2,383.18,383.2,590,NaN
1690791120,383.15,383.18,383.12,383.18,915,NaN
1690791180,383.18,383.18,383.12,383.13,717,NaN
1690791240,383.13,383.15,383.13,383.15,900,NaN
1690791360,383.16,383.16,383.08,383.08,500,NaN
1690791420,383.12,383.12,383.12,383.12,300,NaN
1690791480,383.25,383.3,383.25,383.29,400,NaN
1690791540,383.2,383.2,383.2,383.2,100,NaN
1690791720,383.18,383.18,383.18,383.18,2700,NaN
1690791780,383.22,383.22,383.22,383.22,100,986.65
1690791840,383.25,383.25,383.25,383.25,600,971.95
1690791900,383.23,383.23,383.23,383.23,130,951.95
1690791960,383.15,383.15,383.15,383.15,100,875.45
1690792020,383.18,383.18,383.18,383.18,200,880.45
1690792080,383.3,383.3,383.23,383.23,600,811.9
1690792140,383.22,383.22,383.22,383.22,144,814.1
1690792320,383.32,383.32,383.32,383.32,100,804.1
1690792380,383.36,383.41,383.36,383.41,1600,784.1
1690792440,383.41,383.41,383.41,383.41,433,651.45
1690792500,383.41,383.41,383.41,383.41,100,561.45
1690792680,383.32,383.32,383.32,383.32,201,542
1690792800,383.38,383.42,383.38,383.42,5050,748.75
1690792860,383.41,383.41,383.41,383.41,500,737.9
1690792920,383.47,383.49,383.47,383.47,15178,1451.8
1690793040,383.41,383.41,383.39,383.4,750,1464.3
1690793100,383.36,383.36,383.35,383.35,200,1459.3
1690793160,383.35,383.35,383.35,383.35,100,1444.3
1690793220,383.3,383.33,383.28,383.31,3240,1601.3
1690793340,383.45,383.49,383.42,383.42,800,1506.3
1690793400,383.49,383.56,383.49,383.56,300,1516.3
1690793460,383.59,383.59,383.57,383.58,1050,1538.8
1690793520,383.55,383.58,383.55,383.58,600,1562.3
1690793580,383.64,383.68,383.64,383.68,250,1569.8
1690793760,383.58,383.58,383.58,383.58,300,1574.8
1690793880,383.73,383.73,383.73,383.73,1000,1594.8
1690793940,383.75,383.75,383.7,383.7,200,1597.6
1690794000,383.7,383.7,383.67,383.7,300,1607.6
1690794060,383.73,383.73,383.69,383.69,800,1567.6
1690794300,383.66,383.66,383.66,383.66,100,1550.95
1690794360,383.73,383.75,383.73,383.75,200,1555.95
1690794420,383.8,383.83,383.8,383.83,284,1560.1
1690794480,383.8,383.8,383.8,383.8,800,1347.6
1690794660,383.67,383.68,383.67,383.68,600,1352.6
1690794720,383.62,383.65,383.62,383.65,300,608.7
1690794840,383.59,383.61,383.59,383.61,2000,671.2
1690795380,383.6,383.6,383.6,383.6,800,701.2
